timestamp	idea_id	idea_name	archetype	timeframe	param_count	params_json	gross_pf	net_pf	win_rate	total_trades	sharpe	sortino	max_dd	max_dd_duration_days	expectancy_gross	expectancy_net	avg_duration_hours	strategy_pnl_gross	strategy_pnl_net	buy_hold_pnl	total_costs	verdict	reason	regime_pass	data_bars	data_period	cost_pct
	R012	Adaptive Momentum Burst (AMB)			0	{}																park	No archetype mapping available.				
	R013	Acceleration Breakout Filter (ABF)			0	{}																park	No archetype mapping available.				
	R014	Multi-Timeframe Breakout Confluence (MTBC)			0	{}																park	No archetype mapping available.				
	R024	Volatility Regime Breakout (VRB)			0	{}																park	No strategy mapping available.				
	R026	Two-Timeframe Breakout Confirmation (2TBC)			0	{}																park	No strategy mapping available.				
	R025	Momentum Exhaustion Reversal (Long-Only)			0	{}																park	No strategy mapping available.				
2026-02-08T15:36:55.405428	R003	Volume Profile Breakout	bollinger_breakout	4H	7	"{""bb_period"":20,""bb_std"":2.0,""squeeze_lookback"":50,""squeeze_percentile"":20,""min_squeeze_bars"":3,""stop_pct"":2.5,""target_pct"":4.0}"	1.02	0.96	0.372	129	-0.38	-99.0	21191.89	618.0	21.26	-44.55	59.0	2743.04	-5746.58	47039.94	8489.63	kill	Gross PF 1.02 — positive expectancy but below 1.3 threshold.		6571	2023-02-08 → 2026-02-07	0.1
2026-02-08T15:38:05.982894	R007	Volatility-Adjusted Trend	vol_adjusted_trend	4H	5	"{""ma_period"":30,""atr_period"":20,""stop_atr_mult"":3.0,""target_atr_mult"":6.0,""trend_filter_period"":80,""long_only"":true}"	1.46	1.4	0.448	87	1.18	5.94	19596.77	251.0	664.57	595.39	165.7	57817.51	51799.23	47039.94	6018.28	promote	Gross PF 1.46 >= 1.3 threshold. Promote to full hypothesis.		6571	2023-02-08 → 2026-02-07	0.1
2026-02-08T15:38:08.756609	R009	Donchian Channel Breakout	donchian_breakout	4H	3	"{""channel_period"":20,""stop_pct"":2.0,""target_pct"":6.0,""long_only"":true}"	1.31	1.23	0.336	134	1.04	99.0	21670.86	323.0	291.88	224.13	72.5	39112.01	30033.29	47039.94	9078.73	promote	Gross PF 1.31 >= 1.3 threshold. Promote to full hypothesis.		6571	2023-02-08 → 2026-02-07	0.1
2026-02-08T15:38:16.565952	R011	Daily Timeframe Trend	daily_trend	D	4	"{""fast_period"":5,""slow_period"":40,""stop_pct"":6.0,""target_pct"":24.0,""long_only"":true}"	1.9	1.86	0.35	20	0.79	99.0	20559.74	256.0	2158.62	2099.68	877.2	43172.41	41993.58	47122.46	1178.82	promote	Gross PF 1.90 >= 1.3 threshold. Promote to full hypothesis.		1096	2023-02-08 → 2026-02-07	0.1
2026-02-08T15:40:25.810426	R009	Donchian Channel Breakout	donchian_breakout	4H	3	"{""channel_period"":20,""stop_pct"":2.0,""target_pct"":6.0,""long_only"":true}"	1.31	1.23	0.336	134	1.04	99.0	21670.86	323.0	291.88	224.13	72.5	39112.01	30033.29	47039.94	9078.73	promote	Gross PF 1.31 >= 1.3 threshold. Promote to full hypothesis.		6571	2023-02-08 → 2026-02-07	0.1
2026-02-11T16:54:15.807108	R010	Multi-Asset Momentum	multi_asset_momentum	4H	4	"{""roc_period"":30,""min_roc"":1.0,""stop_pct"":2.0,""target_pct"":12.0,""aux_data_dir"":""/Users/siphokhoza/ai-chief-of-staff/data"",""aux_timeframe_hours"":4,""long_only"":true}"	1.62	1.53	0.244	82	1.15	99.0	17737.36	199.0	642.88	577.19	134.4	52715.89	47329.35	47039.94	5386.54	promote	Gross PF 1.62 >= 1.3 threshold. Promote to full hypothesis.		6571	2023-02-08 → 2026-02-07	0.1
2026-02-11T16:59:39.328118	R012	Adaptive Momentum Burst (AMB)	adaptive_momentum_burst	4H	9	"{""bb_period"":20,""bb_std"":2.0,""squeeze_lookback"":50,""squeeze_pct"":20,""min_squeeze_bars"":3,""ma_period"":50,""ma_slope_bars"":5,""stop_pct"":2.0,""target_pct"":12.0}"	1.66	1.56	0.229	35	0.65	99.0	12399.97	194.0	738.11	666.34	148.0	25833.69	23321.8	47039.94	2511.89	promote	Gross PF 1.66 >= 1.3 threshold. Promote to full hypothesis.		6571	2023-02-08 → 2026-02-07	0.1
2026-02-11T17:00:44.362187	R013	Acceleration Breakout Filter (ABF)	acceleration_breakout	4H	5	"{""channel_period"":30,""roc_short"":5,""roc_long"":15,""stop_pct"":2.0,""target_pct"":12.0}"	2.34	2.21	0.257	35	0.87	99.0	9368.43	202.0	1140.22	1081.12	92.0	39907.74	37839.18	47039.94	2068.56	promote	Gross PF 2.34 >= 1.3 threshold. Promote to full hypothesis.		6571	2023-02-08 → 2026-02-07	0.1
2026-02-11T17:01:05.140050	R014	Multi-Timeframe Breakout Confluence (MTBC)	mtf_breakout	4H	4	"{""channel_period"":15,""trend_ma_period"":90,""stop_pct"":4.0,""target_pct"":6.0}"	1.39	1.33	0.505	107	1.16	99.0	26970.89	360.0	536.48	470.35	128.7	57403.43	50327.36	47039.94	7076.06	promote	Gross PF 1.39 >= 1.3 threshold. Promote to full hypothesis.		6571	2023-02-08 → 2026-02-07	0.1
2026-02-12T13:48:17.866736	R015	Volume-Confirmed Breakout (VCB)	volume_breakout	4H	5	"{""channel_period"":20,""vol_period"":20,""vol_mult"":1.5,""stop_pct"":2.0,""target_pct"":12.0}"	1.41	1.33	0.211	90	0.83	99.0	17266.25	251.0	450.92	383.16	105.8	40583.11	34484.41	47039.94	6098.7	promote	Gross PF 1.41 >= 1.3 threshold. Promote to full hypothesis.		6571	2023-02-08 → 2026-02-07	0.1
2026-02-12T13:48:37.423219	R016	Dual Momentum Consensus (DMC)	dual_momentum_consensus	4H	6	"{""channel_period"":20,""roc_fast"":3,""roc_med"":10,""roc_slow"":20,""stop_pct"":2.0,""target_pct"":6.0}"	1.31	1.23	0.336	134	1.04	99.0	21670.86	323.0	291.88	224.13	72.5	39112.01	30033.29	47039.94	9078.73	promote	Gross PF 1.31 >= 1.3 threshold. Promote to full hypothesis.		6571	2023-02-08 → 2026-02-07	0.1
2026-02-12T13:49:19.636348	R017	Trend Strength Breakout (TSB)	trend_strength_breakout	4H	5	"{""channel_period"":30,""adx_period"":20,""adx_threshold"":30,""stop_pct"":2.0,""target_pct"":9.0}"	1.59	1.5	0.299	67	1.12	99.0	16542.81	243.0	583.28	516.36	118.6	39080.07	34596.12	47039.94	4483.95	promote	Gross PF 1.59 >= 1.3 threshold. Promote to full hypothesis.		6571	2023-02-08 → 2026-02-07	0.1
2026-02-12T13:51:53.599025	R018	Trend Pullback Entry (TPE)	trend_pullback	4H	7	"{""ma_period"":80,""ma_slope_bars"":5,""pullback_pct"":1.0,""roc_period"":5,""min_roc"":1.0,""stop_pct"":2.0,""target_pct"":6.0}"	2.65	2.49	0.462	26	1.2	99.0	6203.15	224.0	1207.12	1138.35	61.8	31385.02	29597.08	47039.94	1787.94	promote	Gross PF 2.65 >= 1.3 threshold. Promote to full hypothesis.		6571	2023-02-08 → 2026-02-07	0.1
2026-02-12T13:53:14.549762	R019	ATR Regime Adaptive (ARA)	atr_regime_adaptive	4H	6	"{""ma_period"":20,""atr_period"":20,""atr_history"":90,""base_stop_pct"":3.0,""base_target_pct"":12.0,""trend_filter_period"":80}"	1.38	1.33	0.319	69	1.04	8.82	37502.65	245.0	587.95	522.77	222.0	40568.67	36071.12	47039.94	4497.54	promote	Gross PF 1.38 >= 1.3 threshold. Promote to full hypothesis.		6571	2023-02-08 → 2026-02-07	0.1
2026-02-12T13:53:53.395851	R020	Consecutive Momentum Filter (CMF)	consecutive_momentum	4H	4	"{""channel_period"":20,""consec_bars"":4,""stop_pct"":2.0,""target_pct"":12.0}"	1.74	1.64	0.229	48	0.77	99.0	9887.27	232.0	833.17	760.33	140.7	39991.95	36495.62	47039.94	3496.33	promote	Gross PF 1.74 >= 1.3 threshold. Promote to full hypothesis.		6571	2023-02-08 → 2026-02-07	0.1
2026-02-17T09:36:48.329951	R021	Range Compression Expansion (RCE)	range_compression_expansion	4H	7	"{""atr_period"":20,""atr_lookback"":60,""compression_percentile"":10,""breakout_atr_mult"":1.5,""confirmation_bars"":2,""stop_pct"":2.0,""target_pct"":6.0,""long_only"":true}"	2.49	2.33	0.438	48	1.44	99.0	11139.29	223.0	1105.43	1037.65	97.8	53060.76	49807.03	44017.98	3253.73	promote	Gross PF 2.49 >= 1.3 threshold. Promote to full hypothesis.		6571	2023-02-18 → 2026-02-17	0.1
2026-02-17T09:38:58.873244	R023	Gap-and-Go Continuation (GGC)	gap_and_go	4H	8	"{""ma_period"":50,""gap_min_pct"":0.5,""lookback_period"":20,""roc_period"":10,""min_roc"":1.0,""entry_delay_bars"":1,""stop_pct"":2.0,""target_pct"":6.0,""long_only"":true}"	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	44017.98	0	park	Insufficient trades (0). Need 20+ for meaningful screen.		6571	2023-02-18 → 2026-02-17	0.1
2026-02-17T10:40:58.552861	R022	Momentum Exhaustion Reversal to Trend (MERT)	momentum_exhaustion_reversal	4H	6	"{""ma_period"":50,""rsi_period"":14,""rsi_threshold"":30,""bounce_min_pct"":1.0,""stop_pct"":2.0,""target_pct"":6.0,""long_only"":true}"	1.61	1.5	0.31	29	0.32	99.0	11311.62	639.0	537.28	469.15	48.4	15581.25	13605.49	44033.44	1975.76	promote	Gross PF 1.61 >= 1.3 threshold. Promote to full hypothesis.		6571	2023-02-18 → 2026-02-17	0.1
2026-02-17T10:42:30.464785	R021	Range Compression Expansion (RCE)	range_compression_expansion	4H	7	"{""atr_period"":20,""atr_lookback"":60,""compression_percentile"":10,""breakout_atr_mult"":1.5,""confirmation_bars"":2,""stop_pct"":2.0,""target_pct"":6.0,""long_only"":true}"	2.49	2.33	0.438	48	1.44	99.0	11139.29	223.0	1105.43	1037.65	97.8	53060.76	49807.03	44033.44	3253.73	promote	Gross PF 2.49 >= 1.3 threshold. Promote to full hypothesis.		6571	2023-02-18 → 2026-02-17	0.1
